Date;TripName;City;Country;Type;Score
7/01/2022;Winterland Hasselt;Hasselt;Belgium;Christmas Market;
9/01/2022;Winter in Bokrijk;Hasselt;Belgium;Christmas Market;
5/02/2022;Centerparcs;De Haan;Belgium;Waterpark;
19/02/2022;PIXEL;Brussels;Belgium;Museum;
25/02/2022;Da Vinci Expo;Antwerp;Belgium;Expo;
17/03/2022;Aqua Land;Cologne;Germany;Waterpark;
16/04/2022;Paasfoor;Kortrijk;Belgium;Funfair;
14/05/2022;Walibi;Wavre;Belgium;Themepark;
24/05/2022;Meifoor;Bruges;Belgium;Funfair;
14/06/2022;DJ Tiesto;Berlin;Germany;Concert;5
15/07/2022;Regi;Bruges;Belgium;Concert;5
20/07/2022;Edje Ska en De Pilshards;Ghent;Belgium;Concert;4,5
20/07/2022;Praga Khan;Ghent;Belgium;Concert;5
25/07/2022;Tilburgse Kermis;Tilburg;The Netherlands;Funfair;
3/08/2022;Rammstein;Ostend;Belgium;Concert;5
10/08/2022;Worlds of Fun;Kansas City;USA;Themepark;
18/08/2022;Plopsaland;De Panne;Belgium;Themepark;
20/08/2022;Plopsaqua;De Panne;Belgium;Waterpark;
10/09/2022;Clouseau;Ostend;Belgium;Concert;5
17/09/2022;Villa Aqua;Ostend;Belgium;Sauna;
24/09/2022;Katara;Belsele;Belgium;Sauna;
7/10/2022;Oktoberfoor;Ostend;Belgium;Funfair;
9/10/2022;Parx D Astrrix;Paris;France;Themepark;
20/10/2022;Oktoberfoor;Ostend;Belgium;Funfair;
22/10/2022;Lago;Bruges;Belgium;Waterpark;
20/11/2022;Nightwish;Antwerp;Belgium;Concert;5
26/11/2022;Wintergloed;Bruges;Belgium;Christmas Market;
30/11/2022;Zwembad Brigitte Becue;Ostend;Belgium;Swimming pool;
3/12/2022;Winter in het park;Ostend;Belgium;Christmas Market;
7/12/2022;Lago;Bruges;Belgium;Waterpark;
10/12/2022;Katara;Belsele;Belgium;Sauna;
14/12/2022;Lago;Bruges;Belgium;Waterpark;
15/12/2022;Winterland;Hasselt;Belgium;Christmas Market;
17/12/2022;Winter in het park;Ostend;Belgium;Christmas Market;
19/12/2022;Warmathon;Bruges;Belgium;Event;
20/12/2022;Winter in het park;Ostend;Belgium;Christmas Market;
21/12/2022;Kerstmarkt Arras;Arras;France;Christmas Market;
21/12/2022;Kerstmarkt Lille;Rijsel;France;Christmas Market;
26/12/2022;Villa Aqua;Ostend;Belgium;Sauna;
7/01/2023;Koksijde by Light;Koksijde;Belgium;Christmas Market;
11/01/2023;Zwembad Brigitte Becue;Ostend;Belgium;Swimming pool;
18/01/2023;Zwembad Brigitte Becue;Ostend;Belgium;Swimming pool;
4/02/2023;Villa Aqua;Ostend;Belgium;Sauna;
11/02/2023;Mu.Zee;Ostend;Belgium;Museum;
28/02/2023;Bring me the horizon;Antwerp;Belgium;Concert;5
2/03/2023;De Wereld is Klein;Varsenare;Belgium;Resto;5
4/03/2023;Kinepolis;Ostend;Belgium;Movie Theatre;3
4/03/2023;Sushi Oostende;Ostend;Belgium;Resto;5
11/03/2023;FAAR;Ostend;Belgium;Event;5
23/03/2023;Shokoladen museum;Cologne;Germany;Museum;5
1/04/2023;Villa Aqua;Ostend;Belgium;Sauna;5
21/04/2023;Space Needle;Seattle;USA;Monument;5
29/04/2023;Meifoor;Bruges;Belgium;Funfair;5
1/05/2023;Kinepolis;Ostend;Belgium;Movie Theatre;3
1/05/2023;Sushi Oostende;Ostend;Belgium;Resto;5
13/05/2023;Walibi;Wavre;Belgium;Themepark;5
10/06/2023;Gistelse Dolle Dagen;Gistel;Belgium;Event;5
22/07/2023;Gentse Feesten;Ghent;Belgium;Event;5
26/07/2023;Tilburgse Kermis;Tilburg;The Netherlands;Funfair;5
